dataset,count,method,dimensions,rho.seuclidean
baron-human,logcounts,saucie,4,-0.006161487544780292
baron-human,logcounts,saucie,32,0.014673735789904092
baron-human,logcounts,saucie,2,0.0018255426558914747
baron-human,logcounts,saucie,16,0.002420279681033627
baron-human,logcounts,saucie,96,-0.0029963212891903905
baron-human,logcounts,saucie,8,-0.001677310935581724
baron-human,logcounts,saucie,48,0.00600881512239774
baron-human,logcounts,bd,4,0.20609491123916907
baron-human,logcounts,bd,32,0.5519029867932911
baron-human,logcounts,bd,2,0.2314317309015565
baron-human,logcounts,bd,16,0.47904029269291026
baron-human,logcounts,bd,96,0.5965285594323015
baron-human,logcounts,bd,8,0.3738507433867863
baron-human,logcounts,bd,48,0.5494098297483582
baron-human,logcounts,lda,4,0.24208866481723135
baron-human,logcounts,lda,32,0.16606805741362096
baron-human,logcounts,lda,2,0.1619800699329508
baron-human,logcounts,lda,16,0.13776839437825736
baron-human,logcounts,lda,96,0.12783912294677527
baron-human,logcounts,lda,8,0.2251908884414971
baron-human,logcounts,lda,48,0.025745069018919157
baron-human,logcounts,spectral,4,0.341818134644153
baron-human,logcounts,spectral,32,0.46621844305317045
baron-human,logcounts,spectral,2,0.2316783014016698
baron-human,logcounts,spectral,16,0.4106734691825062
baron-human,logcounts,spectral,96,0.4604556470834151
baron-human,logcounts,spectral,8,0.3716369388052006
baron-human,logcounts,spectral,48,0.48961558672162353
baron-human,logcounts,grp,4,0.13693094749221105
baron-human,logcounts,grp,32,0.29616674859353515
baron-human,logcounts,grp,2,0.04588892432334659
baron-human,logcounts,grp,16,0.23524826688062012
baron-human,logcounts,grp,96,0.46204270468327285
baron-human,logcounts,grp,8,0.1735225232243938
baron-human,logcounts,grp,48,0.3732488710127885
baron-human,logcounts,fa,4,0.41530628004144593
baron-human,logcounts,fa,32,0.6624467192672674
baron-human,logcounts,fa,2,0.3124907308920226
baron-human,logcounts,fa,16,0.5672550140765614
baron-human,logcounts,fa,96,0.794964016798334
baron-human,logcounts,fa,8,0.4952944801432433
baron-human,logcounts,fa,48,0.6957760856092811
baron-human,logcounts,mctsne,4,0.25921262671912554
baron-human,logcounts,mctsne,32,nan
baron-human,logcounts,mctsne,2,0.26881168887364054
baron-human,logcounts,mctsne,96,0.21563685786998407
baron-human,logcounts,mctsne,8,0.22500421308338447
baron-human,logcounts,mctsne,48,nan
baron-human,logcounts,nmf,4,0.21518185184078162
baron-human,logcounts,nmf,32,0.5699898960662322
baron-human,logcounts,nmf,2,0.2304925480871175
baron-human,logcounts,nmf,16,0.5009976530003362
baron-human,logcounts,nmf,96,0.5683793127255825
baron-human,logcounts,nmf,8,0.3843255471482182
baron-human,logcounts,nmf,48,0.5519923899938879
baron-human,logcounts,kpca-pol,4,0.4506545144379695
baron-human,logcounts,kpca-pol,32,0.6627354737532737
baron-human,logcounts,kpca-pol,2,0.3371155769331861
baron-human,logcounts,kpca-pol,16,0.6115066103867037
baron-human,logcounts,kpca-pol,96,0.6681275911230558
baron-human,logcounts,kpca-pol,8,0.49973680580944646
baron-human,logcounts,kpca-pol,48,0.6705019380305962
baron-human,logcounts,vasc,4,0.3245580588057642
baron-human,logcounts,vasc,32,nan
baron-human,logcounts,vasc,2,0.39768338978396023
baron-human,logcounts,vasc,16,0.2802627487220068
