dataset,count,method,dimensions,rho.cosine
baron-human,logcounts,nmf,8,0.4363065679238353
baron-human,logcounts,nmf,16,0.5108311190348926
baron-human,logcounts,srp,96,0.515978061830418
baron-human,logcounts,srp,48,0.4946347719705074
baron-human,logcounts,srp,32,0.3423171261867369
baron-human,logcounts,srp,2,nan
baron-human,logcounts,srp,4,0.13573263070222719
baron-human,logcounts,srp,8,0.15046322969091233
baron-human,logcounts,srp,16,0.2876068540188693
baron-human,logcounts,snmf,96,0.47543228494211714
baron-human,logcounts,snmf,48,0.5403953016791552
baron-human,logcounts,snmf,32,0.2866147396184424
baron-human,logcounts,snmf,2,0.38938264125043126
baron-human,logcounts,snmf,4,0.4101482163995615
baron-human,logcounts,snmf,8,0.25510840181450223
baron-human,logcounts,snmf,16,0.4179139723076681
baron-human,logcounts,psmf,96,0.753717363067728
baron-human,logcounts,psmf,48,0.6159032890801339
baron-human,logcounts,psmf,32,0.5540385283471004
baron-human,logcounts,psmf,2,0.3374165638348601
baron-human,logcounts,psmf,4,0.4283404945491894
baron-human,logcounts,psmf,8,0.5198722859349578
baron-human,logcounts,psmf,16,0.45911533289307793
baron-human,logcounts,kpca-pol,96,0.24957531632830024
baron-human,logcounts,kpca-pol,48,0.25636253937278114
baron-human,logcounts,kpca-pol,32,0.25909129442942663
baron-human,logcounts,kpca-pol,2,0.251530542309028
baron-human,logcounts,kpca-pol,4,0.2609658223754762
baron-human,logcounts,kpca-pol,8,0.25897460402607286
baron-human,logcounts,kpca-pol,16,0.2613896706009702
baron-human,logcounts,ivis,96,0.43865723423117625
baron-human,logcounts,ivis,48,0.4512729607167951
baron-human,logcounts,ivis,32,0.44675753572999904
baron-human,logcounts,ivis,2,0.4024643413754238
baron-human,logcounts,ivis,4,0.4362776373359241
baron-human,logcounts,ivis,8,0.37631269940455647
baron-human,logcounts,ivis,16,0.44133883447869476
baron-human,logcounts,spectral,96,0.06601271428889058
baron-human,logcounts,spectral,48,0.08925843433222105
baron-human,logcounts,spectral,32,0.11204844541041782
baron-human,logcounts,spectral,2,0.20122843695751835
baron-human,logcounts,spectral,4,0.19865843633407426
baron-human,logcounts,spectral,8,0.20042467377189932
baron-human,logcounts,spectral,16,0.15724896626228535
baron-human,logcounts,nmf2,96,0.525500180332767
baron-human,logcounts,nmf2,48,0.4954229157814865
baron-human,logcounts,nmf2,32,0.4534588174210614
baron-human,logcounts,nmf2,2,0.41002956685299036
baron-human,logcounts,nmf2,4,0.39284926770501355
baron-human,logcounts,nmf2,8,0.4113182405931547
baron-human,logcounts,nmf2,16,0.4306476765102066
baron-human,logcounts,icm,96,0.23111708818977852
baron-human,logcounts,icm,48,0.434747294730812
baron-human,logcounts,icm,32,0.49730526759991
baron-human,logcounts,icm,2,0.38629690949172774
baron-human,logcounts,icm,4,0.4035719587562092
baron-human,logcounts,icm,8,0.5061160480213479
baron-human,logcounts,icm,16,0.44538707833371405
baron-human,logcounts,pca,96,0.404830532077924
baron-human,logcounts,pca,48,0.4065026163678021
baron-human,logcounts,pca,32,0.4068489702278147
baron-human,logcounts,pca,2,0.37532233029870865
baron-human,logcounts,pca,4,0.39731283451659355
baron-human,logcounts,pca,8,0.4053253005623426
baron-human,logcounts,pca,16,0.4063914366497361
baron-human,logcounts,saucie,96,0.0007813534909785069
baron-human,logcounts,saucie,48,0.0017893968310351872
baron-human,logcounts,saucie,32,-0.002679471220875627
baron-human,logcounts,saucie,2,0.004069666473280154
baron-human,logcounts,saucie,4,-0.005033501305576605
baron-human,logcounts,saucie,8,-0.004472229871659385
baron-human,logcounts,saucie,16,0.0035484888471571056
baron-human,logcounts,spca,96,0.3767986860195066
baron-human,logcounts,spca,48,0.38204298244244045
baron-human,logcounts,spca,32,0.36866296124692655
baron-human,logcounts,spca,2,0.3570963782118554
baron-human,logcounts,spca,4,0.37698800683622585
baron-human,logcounts,spca,8,0.387212392301303
baron-human,logcounts,spca,16,0.3629031142928005
baron-human,logcounts,spca-batch,96,0.24876415941537508
baron-human,logcounts,spca-batch,48,0.26484692385616665
baron-human,logcounts,spca-batch,32,0.28391880244109874
baron-human,logcounts,spca-batch,2,0.3511663426924319
baron-human,logcounts,spca-batch,4,0.38013241926442826
baron-human,logcounts,spca-batch,8,0.35650824091952205
baron-human,logcounts,spca-batch,16,0.28027186471067733
baron-human,logcounts,nsnmf,96,0.4696798003914767
baron-human,logcounts,nsnmf,48,0.44142955746179596
baron-human,logcounts,nsnmf,32,0.42641843712999944
baron-human,logcounts,nsnmf,2,0.05144103299135908
baron-human,logcounts,nsnmf,4,0.1854998632738879
