dataset,count,method,dimensions,rho.correlation
baron-human,logcounts,nmf,48,0.3295874228341342
baron-human,logcounts,nmf,32,0.46483572949642854
baron-human,logcounts,nmf,2,0.4805152409049065
baron-human,logcounts,nmf,4,0.48637145790960357
baron-human,logcounts,nmf,8,0.49691186820549843
baron-human,logcounts,nmf,16,0.5220156625148427
baron-human,logcounts,srp,96,0.5008965709762931
baron-human,logcounts,srp,48,0.46308343152352704
baron-human,logcounts,srp,32,0.29933861848809273
baron-human,logcounts,srp,2,nan
baron-human,logcounts,srp,4,0.13504595796261465
baron-human,logcounts,srp,8,0.12791073563448155
baron-human,logcounts,srp,16,0.26279096143842645
baron-human,logcounts,snmf,96,0.38586385137716156
baron-human,logcounts,snmf,48,0.5047387537775855
baron-human,logcounts,snmf,32,0.2663160454420604
baron-human,logcounts,snmf,2,0.4865984253466587
baron-human,logcounts,snmf,4,0.5185752460679153
baron-human,logcounts,snmf,8,0.3377578690243853
baron-human,logcounts,snmf,16,0.42663392751632034
baron-human,logcounts,psmf,96,0.6654231346556732
baron-human,logcounts,psmf,48,0.6596810919622214
baron-human,logcounts,psmf,32,0.6474130440039169
baron-human,logcounts,psmf,2,0.058343351558306285
baron-human,logcounts,psmf,4,0.4726723724594641
baron-human,logcounts,psmf,8,0.613005922921823
baron-human,logcounts,psmf,16,0.5466172731732474
baron-human,logcounts,kpca-pol,96,0.35715668846903675
baron-human,logcounts,kpca-pol,48,0.36574052481676156
baron-human,logcounts,kpca-pol,32,0.37022810194961886
baron-human,logcounts,kpca-pol,2,0.23262062923085536
baron-human,logcounts,kpca-pol,4,0.38469240764959833
baron-human,logcounts,kpca-pol,8,0.3790664700715613
baron-human,logcounts,kpca-pol,16,0.3744455230817353
baron-human,logcounts,ivis,96,0.5318386480355509
baron-human,logcounts,ivis,48,0.5681989159259869
baron-human,logcounts,ivis,32,0.5390724728171818
baron-human,logcounts,ivis,2,0.10960638756913903
baron-human,logcounts,ivis,4,0.4688671823802239
baron-human,logcounts,ivis,8,0.4731327013306776
baron-human,logcounts,ivis,16,0.5210750197187313
baron-human,logcounts,spectral,96,0.07745154369429753
baron-human,logcounts,spectral,48,0.10420083261248068
baron-human,logcounts,spectral,32,0.13237547970707764
baron-human,logcounts,spectral,2,0.13559419455587543
baron-human,logcounts,spectral,4,0.29219918349772384
baron-human,logcounts,spectral,8,0.25675185627781516
baron-human,logcounts,spectral,16,0.19089588207643537
baron-human,logcounts,nmf2,96,0.5083415063660333
baron-human,logcounts,nmf2,48,0.50279548989146
baron-human,logcounts,nmf2,32,0.4914882766306024
baron-human,logcounts,nmf2,2,0.4750034507987038
baron-human,logcounts,nmf2,4,0.4540529423940117
baron-human,logcounts,nmf2,8,0.4671217419931595
baron-human,logcounts,nmf2,16,0.49521163827991155
baron-human,logcounts,icm,96,0.17932204450883493
baron-human,logcounts,icm,48,0.3972717953216185
baron-human,logcounts,icm,32,0.4784029348985848
baron-human,logcounts,icm,2,0.4854525003936109
baron-human,logcounts,icm,4,0.49998024300805893
baron-human,logcounts,icm,8,0.565760852296978
baron-human,logcounts,icm,16,0.46137132229161426
baron-human,logcounts,pca,96,0.5066314765042281
baron-human,logcounts,pca,48,0.5075232890989448
baron-human,logcounts,pca,32,0.5061493239053246
baron-human,logcounts,pca,2,0.2933411423329977
baron-human,logcounts,pca,4,0.41758465992887056
baron-human,logcounts,pca,8,0.4850666666284598
baron-human,logcounts,pca,16,0.5015667651069377
baron-human,logcounts,saucie,96,-0.000623037270466709
baron-human,logcounts,saucie,48,0.0016088722327283523
baron-human,logcounts,saucie,32,-0.002315661025995293
baron-human,logcounts,saucie,2,0.003050004296320501
baron-human,logcounts,saucie,4,-0.005046781153782385
baron-human,logcounts,saucie,8,-0.004874744447872763
baron-human,logcounts,saucie,16,0.0026547706665850574
baron-human,logcounts,spca,96,0.47413163134224684
baron-human,logcounts,spca,48,0.47199342459535243
baron-human,logcounts,spca,32,0.44599402922157033
baron-human,logcounts,spca,2,0.444617682302453
baron-human,logcounts,spca,4,0.48940232630781205
baron-human,logcounts,spca,8,0.44463243563802546
baron-human,logcounts,spca,16,0.44263120926303506
baron-human,logcounts,spca-batch,96,0.3089421798249406
baron-human,logcounts,spca-batch,48,0.32005973574165936
baron-human,logcounts,spca-batch,32,0.34971908300600485
baron-human,logcounts,spca-batch,2,0.4599503865916635
baron-human,logcounts,spca-batch,4,0.4460781299841879
baron-human,logcounts,spca-batch,8,0.4384342174469859
baron-human,logcounts,spca-batch,16,0.3248430534547139
baron-human,logcounts,nsnmf,96,0.4865336350936631
baron-human,logcounts,nsnmf,48,0.4524444025789242
baron-human,logcounts,nsnmf,32,0.44060689529430075
baron-human,logcounts,nsnmf,2,0.03439129867004762
baron-human,logcounts,nsnmf,4,0.2040597412560481
baron-human,logcounts,nsnmf,8,0.2113895221630481
baron-human,logcounts,nsnmf,16,0.38276865830420487
baron-human,logcounts,lsnmf,96,-0.00010769020168129677
baron-human,logcounts,lsnmf,48,0.004623195027184504
baron-human,logcounts,lsnmf,32,0.0005859599129730746
baron-human,logcounts,lsnmf,2,0.06475688015423992
baron-human,logcounts,lsnmf,4,0.5103826276044702
baron-human,logcounts,lsnmf,8,0.5142472761540497
baron-human,logcounts,lsnmf,16,0.0021406738816123674
baron-human,logcounts,bd,96,0.3850222467159601
baron-human,logcounts,bd,48,0.3163376878902624
baron-human,logcounts,bd,32,0.35718564585627943
baron-human,logcounts,bd,2,0.4567552135030848
baron-human,logcounts,bd,4,0.10336584841431737
baron-human,logcounts,bd,8,0.47664220824399467
baron-human,logcounts,bd,16,0.4452241154857216
baron-human,logcounts,fa,96,0.21392229881584743
baron-human,logcounts,fa,48,0.23817535380080246
baron-human,logcounts,fa,32,0.2440756749266428
baron-human,logcounts,fa,2,0.35084826000254216
baron-human,logcounts,fa,4,0.3912539803447526
baron-human,logcounts,fa,8,0.3401462940310012
baron-human,logcounts,fa,16,0.29209727297159044
baron-mouse,counts,zifa,48,0.3964443682590193
baron-mouse,counts,zifa,32,0.39328357105660505
baron-mouse,counts,zifa,2,0.19782931465511397
baron-mouse,counts,zifa,4,0.353638252234145
baron-mouse,counts,zifa,8,0.3367934865356855
baron-mouse,counts,zifa,16,0.3863913061933657
baron-mouse,counts,vasc,96,0.2607698932519932
baron-mouse,counts,vasc,48,0.29435118802877536
baron-mouse,counts,vasc,32,0.2812207856943578
baron-mouse,counts,vasc,2,0.028898326606742627
baron-mouse,counts,vasc,4,0.2639704771634414
baron-mouse,counts,vasc,8,0.14196524610463687
baron-mouse,counts,vasc,16,0.1522125592925364
baron-mouse,counts,lle,96,0.11792780982168556
baron-mouse,counts,lle,48,0.07160323838532116
baron-mouse,counts,lle,32,0.24096783529937346
baron-mouse,counts,lle,2,0.4124077542120777
baron-mouse,counts,lle,4,0.4704555422401969
baron-mouse,counts,lle,8,0.6239142534881251
baron-mouse,counts,lle,16,0.21386747301210315
baron-mouse,counts,kpca-cos,96,0.7247949509048596
baron-mouse,counts,kpca-cos,48,0.7184483357863769
baron-mouse,counts,kpca-cos,32,0.7109532446914669
baron-mouse,counts,kpca-cos,2,0.35546943880615006
baron-mouse,counts,kpca-cos,4,0.6273396612207947
baron-mouse,counts,kpca-cos,8,0.6570209694482193
baron-mouse,counts,kpca-cos,16,0.6886831321519613
baron-mouse,counts,grp,96,0.870067112233042
baron-mouse,counts,grp,48,0.8927543615666718
baron-mouse,counts,grp,32,0.7298486208302883
baron-mouse,counts,grp,2,0.24421736487805917
baron-mouse,counts,grp,4,0.749599272017581
baron-mouse,counts,grp,8,0.7753207992643812
baron-mouse,counts,grp,16,0.8734821815830516
baron-mouse,counts,pmf,96,0.5896025774233506
baron-mouse,counts,pmf,48,0.5720155199881873
baron-mouse,counts,pmf,32,0.5561562446924957
baron-mouse,counts,pmf,2,0.22929773101716333
baron-mouse,counts,pmf,4,0.4243658778569136
baron-mouse,counts,pmf,8,0.536599379310042
baron-mouse,counts,pmf,16,0.5440699215755787
baron-mouse,counts,ipca,96,0.4433556295464059
baron-mouse,counts,ipca,48,0.44156804161916696
baron-mouse,counts,ipca,32,0.44096334019432964
baron-mouse,counts,ipca,2,0.3300183337185713
baron-mouse,counts,ipca,4,0.43583458481594994
baron-mouse,counts,ipca,8,0.42822019559232094
baron-mouse,counts,ipca,16,0.4394422864652891
baron-mouse,counts,lda,96,0.619190596057254
baron-mouse,counts,lda,48,0.6270659150290205
baron-mouse,counts,lda,32,0.6526431100131005
baron-mouse,counts,lda,2,0.3952899801513504
baron-mouse,counts,lda,4,0.43856116363017
baron-mouse,counts,lda,8,0.71218260238488
baron-mouse,counts,lda,16,0.6422231354969599
baron-mouse,counts,tga,96,0.4179576404017694
baron-mouse,counts,tga,48,0.41901655080077677
baron-mouse,counts,tga,32,0.41907927339092876
baron-mouse,counts,tga,2,0.27516096864414025
baron-mouse,counts,tga,4,0.35658555085754634
baron-mouse,counts,tga,8,0.4225881992283153
baron-mouse,counts,tga,16,0.4036015290570119
baron-mouse,counts,kpca-sig,96,nan
baron-mouse,counts,kpca-sig,48,nan
baron-mouse,counts,kpca-sig,32,nan
baron-mouse,counts,kpca-sig,2,nan
baron-mouse,counts,kpca-sig,4,nan
baron-mouse,counts,kpca-sig,8,nan
baron-mouse,counts,kpca-sig,16,nan
baron-mouse,counts,umap,96,0.471428396061169
baron-mouse,counts,umap,48,0.43239842415873964
baron-mouse,counts,umap,32,0.43086248721302434
baron-mouse,counts,umap,2,0.5791057939764174
baron-mouse,counts,umap,4,0.5090523204347548
baron-mouse,counts,umap,8,0.48358921513995706
baron-mouse,counts,umap,16,0.42498813409387637
baron-mouse,counts,phate,96,0.36579944256374014
baron-mouse,counts,phate,48,0.3671250758330532
baron-mouse,counts,phate,32,0.3682276510384629
baron-mouse,counts,phate,2,0.34117222794708146
baron-mouse,counts,phate,4,0.41891434700241115
baron-mouse,counts,phate,8,0.38067260342302883
baron-mouse,counts,phate,16,0.371667836919104
baron-mouse,counts,fica,96,0.1582166796372391
baron-mouse,counts,fica,48,0.22216790574166412
baron-mouse,counts,fica,32,0.26537481430818194
baron-mouse,counts,fica,2,0.2262967701895348
baron-mouse,counts,fica,4,0.5378303799907788
baron-mouse,counts,fica,8,0.3331455034477201
baron-mouse,counts,fica,16,0.31040873274809505
baron-mouse,counts,isomap,96,0.49172431385537085
baron-mouse,counts,isomap,48,0.4888262086690591
baron-mouse,counts,isomap,32,0.48741979061336843
baron-mouse,counts,isomap,2,0.33388995190295934
baron-mouse,counts,isomap,4,0.45897361770356293
baron-mouse,counts,isomap,8,0.4568903589911044
baron-mouse,counts,isomap,16,0.48102526536148815
baron-mouse,counts,tsvd,96,0.9973022157121977
baron-mouse,counts,tsvd,48,0.9947879982677443
baron-mouse,counts,tsvd,32,0.9918370918264859
baron-mouse,counts,tsvd,2,0.49890326830820914
baron-mouse,counts,tsvd,4,0.8622966997918808
baron-mouse,counts,tsvd,8,0.9436514181146901
baron-mouse,counts,tsvd,16,0.9816268637564535
baron-mouse,counts,vpac,96,0.26375805532737634
