"","criterion","dataset","bd","fa","fica","grp","icm","ipca","isomap","ivis","kpca.cos","kpca.pol","kpca.rbf","kpca.sig","lda","lle","lsnmf","mctsne","nmf","nmf2","nsnmf","pca","phate","pmf","saucie","snmf","spca","spca.batch","spectral","srp","tsvd","umap","vasc","vpac","zifa"
"135","vrc","TabulaMuris_Thymus_FACS",0.543923996747798,0.752776438080376,0.246118969063665,0.539117064466954,0.584662844446578,0.539117064466954,0.21637183472547,0.536976940876106,0.315300439129295,0.0797816929488529,0.681344366747454,0.294385705998969,0.539117064466954,0.314431464047852,0.274697088487801,0.0913658020985551,0.576920466423569,0.547443221137154,0.684096002880538,0.539117064466954,0.273490230680873,0.64942461298034,0.014485589300779,0.565454729021794,0.539117064466954,0.539117064466954,0.160780375026182,0.556155410597842,0.578030418829321,0.0821009549584581,0.628990613368209,0.661517643906644,0.299494720043491
"137","vrc","TabulaMuris_Tongue_FACS",0.534654751856864,0.37748011287608,0.270835179600681,0.0496378728843595,0.477763115396799,0.0373028639714015,0.373297537132298,0.0327891580394709,0.31106497109873,0.037378614475686,0.562421666592215,0.185838216746824,0.554562523939748,0.0519833608729253,0.545217097855129,0.259461770837504,0.536676676165038,0.0337470141901719,0.453654171284017,0.0367662755919756,0.160530733826142,0.0588716852276484,0.00484048605964379,0.251512684028769,0.0363453984271069,0.0337470141901719,0.0597713238259853,0.218528215818331,0.0337470141901719,0.386403922773368,0.331389132639495,0.0850554126044234,0.408770192842058
"139","vrc","baron-human",0.31612810061579,0.398070533453531,0.490248590631654,0.476267063265416,0.322518489425465,0.35351325839076,0.584886432118875,0.6634861881137,0.766077769176806,0.28746521537987,0.337339430089966,0.36433334764457,0.326894999198724,0.745173299669596,0.359681698626217,0.281579880991948,0.326556259871305,0.317593890978037,0.787981804931093,0.563347380289747,0.878456969959895,0.768705588966217,0.00228048722176136,0.330363967401529,0.552291691905805,0.478609876343764,0.654971549755375,0.240297388550891,0.586391602984737,0.855873929969206,0.367511349566734,0.318387358503548,0.355364956758182
"140","vrc","baron-mouse",0.394006091188562,0.454785455745413,0.661232210662557,0.650794412624846,0.46407775190383,0.63340284807481,0.662466033012297,0.411962609251856,0.811318007412446,0.161015602907477,0.200004729454822,0.419475711523639,0.528415500163667,0.838750470303593,0.416745533358501,0.512460702689502,0.417782796802515,0.629458933801586,0.500270397158609,0.633971356271383,0.734818572032881,0.436016270230027,-0.00241756515448693,0.555236275232963,0.637436918636843,0.681399021192162,0.657743806905269,0.456334341424887,0.63394450221171,0.559976002825407,0.412523275956027,0.247148903284282,0.2850127328216
"142","vrc","chen",0.482609634171786,0.692875374602018,0.295833077412578,0.26404999547069,0.655423470490574,0.199330440619794,0.400801376701395,0.788262488598386,0.630831113568447,0.000874292954172684,0.355778276225145,0.694080414586786,0.274847304305247,0.258200843154299,0.384745899986145,0.808158924008782,0.662441635931453,0.142404013551505,0.204857821899118,0.199330440619794,0.394837894303954,0.67222692669904,-0.000632191237090522,0.662224138536813,0.199734811636595,0.367927758151214,0.579155574567041,0.165923298255306,0.272255418953381,0.771051605298383,0.747387023804803,-0.0193054331930803,0.76503593540304
"143","vrc","darmanis",0.55467484753368,0.0955987102754742,0.719780118374615,0.0643318420245613,0.271492753117271,0.719780118374615,0.0877073821493493,0.709553473503544,0.66276775675592,0.0493237848829261,0.460692701066007,0.74434218594377,0.347667331292631,0.25641872638193,0.673528856058965,0.0722009935801592,0.729150567986228,0.0731319561232564,0.059682535836827,0.717365489536513,0.676105678555155,0.104109118079455,0.00206258314979789,0.305312760007575,0.725639002668045,0.459925432807563,0.353333216615537,0.112498113322508,0.682131394311219,0.0859095085438264,0.606717621907566,-0.00728567757218403,0.699971582589803
"144","vrc","deng-reads",0.335322182488712,0.864720018593371,0.862145107025151,0.0367165686909303,0.335322182488712,0.864510973752843,0.4279386952993,0.769145328924832,0.872891321197577,0.512523205519247,0.784034219427119,0.348979529031174,0.332956111798813,0.867040696107389,0.335322182488712,0.829776816303115,0.341134010448686,0.617262368144792,0.327404624015343,0.863073184542739,0.885715481709993,0.836967445119946,-0.0213913556959603,0.341134010448686,0.862145107025151,0.710876467140966,0.852575754628766,0.438088861243748,0.865565348940765,0.485453683543933,0.709531644164512,0.226796469865362,0.866053589952819
"145","vrc","deng-rpkms",0.335170769330365,0.856282060974554,0.868684871734903,0.574956306354781,0.335322182488712,0.871924125729522,0.87402672753215,0.386800776355071,0.872891321197577,0.854284991656714,0.871240461675724,0.608996328860957,0.360265917248391,0.867111254011995,0.335322182488712,0.829776816303115,0.335322182488712,0.342620556069026,0.573176001950941,0.871924125729522,0.867996489663195,0.795198857985062,0.0185195193667384,0.335322182488712,0.871924125729522,0.867793878669197,0.813781869080938,0.609490601645149,0.85825847493361,0.568690960979685,0.877844638389345,0.348828306608747,0.865431627042881
"147","vrc","goolam",0.891880075570986,0.793131364237107,0.888496002222477,0.303518652791278,0.891880075570986,0.889438534310078,0.177237923710568,NA,0.891880075570986,0.828421937295733,0.887561719300559,0.475152155544914,0.860542510710785,0.891880075570986,0.891880075570986,0.860153391844762,0.891880075570986,0.2723711243887,0.208453150101152,0.887561719300559,0.883084525538365,0.299714964982603,0.0165225436427801,0.909723312086349,0.883084525538365,0.860153391844762,0.883084525538365,0.270326132168807,0.891880075570986,0.883084525538365,0.20254851775561,0.864201291880788,0.820932778983543
"148","vrc","klein",0.500723151317538,0.861132446793198,0.824000362210344,0.495386588071689,0.482762957815289,0.757526180678527,0.375537233663478,0.500281336948551,0.500723151317538,0.559672063169573,0.498601513057834,0.457555588537522,0.500723151317538,0.808120925615793,0.478308806815005,0.341885425136666,0.483164501260367,0.456739276882856,0.474875041836927,0.747233595431517,0.572557967557339,0.500723151317538,-0.000942853809122927,0.500723151317538,0.724828809229155,0.430970809192216,0.793944731456451,0.254017084143423,0.500723151317538,0.342801287757846,0.50019109315297,0.493611567756978,0.934105595562788
