,dataset,bd,fa,fica,grp,icm,ipca,isomap,ivis,kpca-cos,kpca-pol,kpca-rbf,lda,lle,lsnmf,mctsne,nmf,nmf2,nsnmf,pca,phate,pmf,saucie,snmf,spca,spca-batch,spectral,srp,tsvd,umap,vasc,vpac,zifa
dbs,TabulaMuris_Spleen_10X,0.4546031724089076,0.0009246854236712986,0.24925868187974906,0.20116534909276199,0.001802478268295432,0.2496319460104473,0.3809027104877399,0.00170128626578387,0.5489297477469801,0.04102816371292755,0.00018432033403751984,0.7220723259222458,0.005423642199150493,0.0005966018185816379,0.0010199962489575263,0.09584224785516443,0.5645458527139973,0.3075666698350608,0.17845857500888818,0.8775247722327563,0.1740555727067695,0.006280332145051961,0.03993335992923936,0.2493830263677831,0.041037034808795864,0.5291909890865589,0.03993335992923936,0.10989686519952672,0.5477635547922287,0.5589847132686274,0.00018432033403751984,0.4563746542064733
dbs,TabulaMuris_Spleen_FACS,0.2119906712750084,0.0027419385540641025,0.04082387335428735,0.02026197976183636,0.008283467296809005,0.02512328832939266,0.23676483511985416,0.4195901137349903,0.5238136613589492,0.0183336591630341,0.01321569421501664,0.8016439918233993,0.2102088225916152,0.3198171509261127,0.0576226160699967,0.039246527037609766,0.034375452436266364,0.12454813608637375,0.02415202543610127,0.024637048623413087,0.13009900039642225,0.02676334397571652,0.06572108838425565,0.024335118181669092,0.5238586747287226,0.02607937947052144,0.030903112783711183,0.016671739643600195,0.2293802038263047,0.5512492900835658,0.540342662126187,0.5168326367434962
dbs,TabulaMuris_Thymus_10X,0.03480762691862998,0.024092790430890864,0.04083786414060183,0.07440782948201155,0.07137857067859013,0.04083786414060183,0.07797481205535482,0.08553263389907119,0.10710696687164686,0.07137857067859013,0.012960698673442208,0.058142250303125816,0.12877995827562408,0.03191022849329276,0.013653644092437538,0.09392665419720214,0.023655834045193967,0.044330232567040835,0.04083786414060183,0.10892516384787378,0.13133265752696122,0.014404089323461981,0.09446330261664262,0.03950650068587535,0.04414952943117145,0.09694079726416156,0.0441384863972074,0.09392665419720214,0.08309064324631643,0.0887816191842849,0.06766819626617605,0.09077409003735318
dbs,TabulaMuris_Thymus_FACS,0.46556735153532797,0.024933081644030287,0.18673189125210407,0.22952917645495105,0.16926536966190353,0.1861630646086448,0.19575817242310145,0.3726181452235223,0.34106231739993786,0.24401483657879075,0.35642793374207066,0.3658073122398693,0.34672911000336243,0.3364527866115661,0.1963873140083681,0.4810728285769709,0.2357505838456435,0.4340725918227788,0.2358132250936629,0.17636844493786413,0.2027586618958849,0.02202420531127074,0.4810728285769709,0.2357069252708415,0.2350287010292103,0.3257943684814189,0.4219535594601594,0.4651307678608768,0.3465284894988366,0.3216725756630786,0.5642116606200397,0.39020306558412415
dbs,TabulaMuris_Tongue_10X,0.08855792938493373,0.0006544421769185736,0.24341198942275635,0.0460489896055919,0.0005005267010458052,0.239170348687568,0.3446870869169346,0.19965224950181296,0.2293476402999433,0.1314624708847185,0.0004919619888708188,0.3209227604229097,0.1685115039317571,0.0004993486986057,0.0006429182832907843,0.3056930337386657,0.24394408729416264,0.08502701505555962,0.2393389793067251,0.30368657947822136,0.28585780101938885,0.009752439888785828,0.3018013758490183,0.2390168071507891,0.04696287232559404,0.2558093487539106,0.07542138559158361,0.21408096260638868,0.3388534881808167,0.2075812506319675,0.2370733554672563,0.16953008756622692
dbs,TabulaMuris_Tongue_FACS,0.07432527775448787,0.010718054439197,0.05449163153406199,0.1491185459340268,0.00015810760402417017,0.051264539360221816,0.2541730578693162,0.06465398693082812,0.21057589381947,0.03607971384708618,0.010563686689556795,0.16999133055453108,0.052957440427556936,0.040217363005786336,0.017412888956040137,0.04731854243830687,0.206317728278032,0.047683413239375486,0.051264539360221816,0.3120501180941267,0.05893769458567572,0.017581616450827762,0.22949436407074025,0.051264539360221816,0.024531751676764444,0.03263684566160702,0.22237161460280208,0.047575751516165735,0.06555057518546771,0.23087261677074464,0.25328036136233023,0.2384174655275781
dbs,TabulaMuris_Trachea_FACS,0.011434951447906785,0.007934871900247161,0.10530067805974776,0.10784643593639097,0.04133284362753193,0.11533313212819525,0.2570133866925844,0.01252278841172605,0.09452642338139568,0.07302401543698828,0.007579655931339645,0.33293452700939696,0.05311397270220238,0.3415008877422903,0.02443965802299949,0.10717868675359522,0.30511402556321804,0.2812377531977526,0.11533313212819528,0.1134057245099334,0.32476816548410925,0.03910605528242463,0.05885071930215757,0.1152133215651112,0.10067617949887704,0.3023453278376279,0.012452526154812904,0.11533313212819528,0.18237299678204652,0.3204521095908223,0.2969962718653624,0.2913261986746568
dbs,baron-human,0.5271727887454822,0.000776954286078755,0.449194853443584,0.4066019995265263,0.05403214057723476,0.4473038761557,0.33670300853783586,0.663126682818286,0.6304204821412073,0.3666039726196375,0.001803849920161545,0.7384260297414246,0.6513877867060781,0.6008596015358757,0.0012450717115883945,0.4245714834282884,0.4247631124029221,0.7505692862080582,0.4473038761557,0.7464339595853879,0.7294887634201245,0.010523930378591914,0.4245714834282884,0.4475132243444214,0.5066496242843029,0.6743127695415345,0.42306377709208776,0.4251468094723501,0.8095489629878174,0.6984010795175436,0.6942043892857429,0.5604271148364426
dbs,baron-mouse,0.4365380756621321,0.039989309977863166,0.5653498267340072,0.6409658036156347,0.11794577818978505,0.5641104885690196,0.5980168714291673,0.6640130096359612,0.7333091946366587,0.3965694152517246,0.0009351482843474652,0.6215503908651494,0.6151593853959846,0.4305519928071628,0.6837062859916939,0.5607148639643506,0.5628558921166591,0.7105071666496674,0.5641104885690197,0.5121764702402877,0.6386982050362879,0.041408048791961936,0.5618483040473413,0.5641104885690197,0.5782818369853627,0.629774499621734,0.2904791727567725,0.5587462207546547,0.7574880890435765,0.5839882053296621,0.3436082013432282,0.4157049812888577
dbs,biase,,,,,,,,,,,,,,,1.94429642477462e-14,,,,,,,,,,,,,,,,,
