dataset,count_type,method,dimensions,seconds,memory
TabulaMuris_Heart_10X,counts,isomap,8,4.335533380508423,564820
TabulaMuris_Heart_10X,counts,isomap,2,4.487908601760864,564808
TabulaMuris_Heart_10X,counts,isomap,4,4.355612516403198,564784
TabulaMuris_Heart_10X,counts,isomap,16,4.596065282821655,564788
TabulaMuris_Heart_10X,counts,isomap,32,4.351422071456909,564832
TabulaMuris_Heart_10X,counts,isomap,48,4.5337443351745605,564772
TabulaMuris_Heart_10X,counts,isomap,96,4.756359577178955,564896
TabulaMuris_Heart_10X,counts,tsvd,8,0.8122797012329102,529572
TabulaMuris_Heart_10X,counts,tsvd,2,0.6136419773101807,523360
TabulaMuris_Heart_10X,counts,tsvd,4,0.5494644641876221,527580
TabulaMuris_Heart_10X,counts,tsvd,16,0.8128640651702881,535628
TabulaMuris_Heart_10X,counts,tsvd,32,1.3016748428344727,534588
TabulaMuris_Heart_10X,counts,tsvd,48,1.4985764026641846,530684
TabulaMuris_Heart_10X,counts,tsvd,96,2.2228589057922363,542352
TabulaMuris_Heart_10X,counts,vpac,8,164.71049737930298,5995772
TabulaMuris_Heart_10X,counts,vpac,2,145.65895557403564,5991640
TabulaMuris_Heart_10X,counts,vpac,4,153.2136266231537,5984252
TabulaMuris_Heart_10X,counts,vpac,16,192.513578414917,6001028
TabulaMuris_Heart_10X,counts,vpac,32,270.7987730503082,6022488
TabulaMuris_Heart_10X,counts,vpac,48,405.9990744590759,6050984
TabulaMuris_Heart_10X,counts,vpac,96,1056.3155055046082,6114688
TabulaMuris_Heart_10X,counts,kpca-rbf,8,1.8120627403259277,574424
TabulaMuris_Heart_10X,counts,kpca-rbf,2,1.3631055355072021,572288
TabulaMuris_Heart_10X,counts,kpca-rbf,4,1.2245447635650635,566764
TabulaMuris_Heart_10X,counts,kpca-rbf,16,0.9208993911743164,569024
TabulaMuris_Heart_10X,counts,kpca-rbf,32,0.9307692050933838,564952
TabulaMuris_Heart_10X,counts,kpca-rbf,48,0.9256274700164795,574748
TabulaMuris_Heart_10X,counts,kpca-rbf,96,0.9324121475219727,568748
TabulaMuris_Heart_10X,counts,mctsne,8,123.37713098526001,404340
TabulaMuris_Heart_10X,counts,mctsne,2,4.118050813674927,362308
TabulaMuris_Heart_10X,counts,mctsne,4,7.862237453460693,365328
TabulaMuris_Heart_10X,counts,mctsne,16,32636.64662003517,15026160
TabulaMuris_Heart_10X,counts,mctsne,32,13.194594621658325,364500
TabulaMuris_Heart_10X,counts,mctsne,48,5167.833847522736,446188
TabulaMuris_Heart_10X,counts,mctsne,96,12.497141361236572,366472
TabulaMuris_Heart_10X,counts,nmf,8,6.383577585220337,614276
TabulaMuris_Heart_10X,counts,nmf,2,1.2404906749725342,610800
