Dataset,Method,Dimensions,realM,realS,userM,userS,sysM,sysS
campbell,fica,5,40,8.668,354,31.953,2,28.324
campbell,nmf,5,15,34.332,15,20.573,0,42.797
campbell,lda,5,34,39.587,80,27.836,221,21.258
campbell,mctsne,5,32,36.725,170,58.577,2,32.144
campbell,umap,8,157,43.034,153,44.162,2,7.857
campbell,pca,8,10,10.505,9,48.077,0,36.752
campbell,isomap,8,75,35.881,649,48.634,4,46.692
campbell,lle,8,69,23.506,649,17.473,1,9.732
campbell,spectral,8,81,22.471,821,52.018,1,58.884
campbell,fa,8,12,33.295,11,57.530,1,16.977
campbell,fica,8,39,46.676,352,15.572,2,1.900
campbell,nmf,8,15,14.931,15,0.973,0,42.324
campbell,lda,8,36,52.312,95,12.240,232,59.295
campbell,mctsne,8,110,21.925,622,3.347,18,47.892
campbell,umap,10,164,43.058,160,46.988,2,15.178
campbell,pca,10,10,14.717,9,51.742,0,37.331
campbell,isomap,10,83,27.057,752,4.920,9,53.681
campbell,lle,10,77,34.256,749,45.878,7,22.940
campbell,spectral,10,81,50.533,825,16.255,1,44.820
campbell,mds,10,11,28.619,21,7.541,1,41.657
campbell,fa,10,15,10.103,14,43.887,1,43.242
campbell,fica,10,40,0.636,358,28.971,2,11.060
campbell,nmf,10,16,51.531,16,35.307,0,46.619
campbell,lda,10,37,31.171,94,54.163,235,54.399
campbell,mctsne,10,422,55.750,2614,22.050,161,0.929
campbell,umap,15,164,9.552,155,33.924,2,4.381
campbell,pca,15,10,31.728,9,58.448,0,46.264
campbell,isomap,15,84,56.795,753,33.226,10,10.388
campbell,lle,15,78,1.147,746,26.393,7,16.995
campbell,spectral,15,80,52.153,820,10.034,1,44.680
campbell,mds,15,11,13.111,21,1.489,1,38.993
campbell,fa,15,13,29.553,13,8.165,1,7.996
campbell,fica,15,40,15.872,357,22.976,2,34.291
campbell,nmf,15,24,12.823,23,44.328,1,0.736
campbell,lda,15,38,57.283,102,25.789,243,5.064
campbell,mctsne,15,23,37.912,134,46.910,2,12.613
campbell,umap,25,108,25.416,105,45.077,1,3.745
campbell,pca,25,10,17.627,9,51.322,0,40.466
campbell,isomap,25,88,43.933,754,47.002,9,49.568
campbell,lle,25,77,16.089,747,42.221,8,35.810
campbell,spectral,25,81,1.922,824,20.412,1,26.114
campbell,fa,25,32,37.258,32,41.470,4,8.015
